Algorithm;Train_score;Test_score;parameters
LinearSVC;0.9087213773294046;0.7989575174893674;C = 0.05 penalty = l2
LinearSVC;0.9343489394446826;0.8068940599515004;C = 0.1 penalty = l2
LinearSVC;0.9478200579056728;0.8085984322974604;C = 0.15 penalty = l2
LinearSVC;0.9584912416863938;0.8091297816022395;C = 0.2 penalty = l2
LinearSVC;0.970469110564763;0.8089432456045154;C = 0.3 penalty = l2
LinearSVC;0.9768319617433189;0.8089217238577798;C = 0.4 penalty = l2
LinearSVC;0.9819074937715953;0.8072239131234775;C = 0.5 penalty = l2
LinearSVC;0.9849936120382224;0.8068612183855005;C = 0.6 penalty = l2
LinearSVC;0.9925346253976758;0.8035076646593833;C = 0.9 penalty = l2
LinearSVC;0.9942644147710631;0.8031964479047188;C = 1.0 penalty = l2
LinearSVC;0.997451427214665;0.7954550627916733;C = 2.0 penalty = l2
LinearSVC;0.9987252179831259;0.7839739286466991;C = 5.0 penalty = l2
LinearSVC;0.9987251248067928;0.7776954606729839;C = 10.0 penalty = l2
LinearSVC;0.9989071016910626;0.7732612805541796;C = 20.0 penalty = l2
SVC_poly;0.07227267007502544;0.07206982206477534;C = 0.5 Kernel = poly
SVC_sigmoid;0.07227267007502544;0.07206982206477534;C = 0.5 Kernel = sigmoid
SVC_rbf;0.07590462215634874;0.07617015275201881;C = 0.5 Kernel = rbf
SGD;0.9588534891064044;0.8005264518273323;loss = hinge
SGD;0.9195711119707151;0.8019854322879406;loss = log
SGD;0.9802296503106692;0.7983126301378867;loss = modified_huber
SGD;0.8782624337079588;0.7382791394847592;loss = squared_hinge
SGD;0.9782001152547712;0.7404704702898851;loss = perceptron
SGD;0.9588534891064044;0.8005264518273323;alpha = 0.0001
SGD;0.8893129833284692;0.7784767292717869;alpha = 0.001
SGD;0.8702376286551536;0.7629352235983542;alpha = 0.01
SGD;0.10835080106138856;0.10871936487493526;alpha = 0.1
SGD;0.10740277729738099;0.10843336237755402;alpha = 0.5
SGD;0.10740277729738099;0.10843336237755402;alpha = 1
SGD;0.10740277729738099;0.10843336237755402;alpha = 3
SGD;0.10740277729738099;0.10843336237755402;alpha = 5
